Celebrity Name
Tom Hanks
Jennifer Lawrence
Leonardo DiCaprio
Meryl Streep
Brad Pitt
Angelina Jolie
Morgan Freeman
Julia Roberts
Robert Downey Jr
Scarlett Johansson
Will Smith
Emma Stone
Johnny Depp
Anne Hathaway
Denzel Washington
Sandra Bullock
Chris Hemsworth
Natalie Portman
Tom Cruise
Nicole Kidman
Matt Damon
Emma Watson
George Clooney
Charlize Theron
Ryan Reynolds
Jennifer Aniston
Hugh Jackman
Kate Winslet
Chris Evans
Margot Robbie
Samuel L Jackson
Cate Blanchett
Christian Bale
Amy Adams
Mark Wahlberg
Jennifer Lopez
Benedict Cumberbatch
Emily Blunt
Dwayne Johnson
Viola Davis
Jake Gyllenhaal
Rachel McAdams
Michael B Jordan
Jessica Chastain
Chris Pratt
Emma Thompson
Idris Elba
Zoe Saldana
Ryan Gosling
Penelope Cruz
Matthew McConaughey
Kate Hudson
Daniel Craig
Halle Berry
Ben Affleck
Michelle Williams
Russell Crowe
Reese Witherspoon
Colin Firth
Marion Cotillard
Joaquin Phoenix
Julianne Moore
Michael Fassbender
Naomi Watts
Eddie Redmayne
Alicia Vikander 
Tom Hardy 
Saoirse Ronan 
Jude Law 
Rachel Weisz 
Paul Rudd 
Eva Green 
Liam Neeson 
Helena Bonham Carter 
Gary Oldman 
Rose Byrne 
Oscar Isaac 
Kate Beckinsale 
Ralph Fiennes 
Emily VanCamp 
Joseph Gordon-Levitt 
Diane Kruger 
Ethan Hawke 
Elizabeth Banks 
Jeremy Renner 
Olivia Wilde 
Viggo Mortensen 
Gemma Arterton 
Josh Brolin 
Rebecca Ferguson 
Joel Edgerton 
Rosamund Pike 
Chiwetel Ejiofor 
Carey Mulligan 
Mahershala Ali 
Brie Larson 
Sam Rockwell 
Tilda Swinton 
Daniel Kaluuya 
Lupita Nyong'o  
Willem Dafoe  
Sally Hawkins  
Richard Madden  
Florence Pugh  
Miley Cyrus  
Kim Kardashian  
Kanye West  
Margaret Thatcher  
George Washington  
Gandhi  
Nelson Mandela  
Christopher Columbus  
Justin Bieber  
Lady Gaga  
Katy Perry  
Justin Timberlake  
Jay Leno  
David Letterman  
Elle Macpherson  
Donald Duck  
Pluto  
Goofy  
Britney Spears  
Paris Hilton  
Vladimir Putin  
Daniel Radcliffe  
David Beckham  
Madonna  
Eminem  
Jack Nicholson  
Kevin Spacey  
Kylie Minogue  
Roger Federer  
Andy Murray  
Serena Williams  
Mickey Mouse  
Simon Cowell  
Ludwig Beethoven  
Warren Buffett   
Lewis Carroll   
Queen Elizabeth II   
Charles Darwin   
Albert Einstein   
Henry Ford   
Bill Gates   
Steve Jobs   
Vincent van Gogh   
Adolf Hitler   
Thomas Jefferson   
Stanley Kubrick   
Charles Lindbergh   
Courtney Love   
Kurt Cobain   
Michelangelo   
Amadeus Mozart   
Sir Isaac Newton   
George Orwell   
Andy Warhol   
Orson Welles   
Leonardo da Vinci   
Walt Disney   
Abraham Lincoln   
William Shakespeare   
Martin Luther King Jr.   
John F. Kennedy    
Princess Diana    
Mother Teresa    
Thomas Edison    
Benjamin Franklin    
Neil Armstrong    
Napoleon Bonaparte    
Elvis Presley    
Muhammad Ali    
Marilyn Monroe    
Pablo Picasso    
Charles Dickens    
Cleopatra    
John Lennon    
Michael Jordan    
Mark Twain    
Barack Obama    
Robert Pattinson    
Hugh Hefner    
J.K. Rowling    
Bill Clinton    
Elizabeth Taylor    
Clint Eastwood    
Alfred Hitchcock    
Stephen Hawking    
Oprah Winfrey    
Beyoncé Knowles-Carter    
Hillary Clinton     
Dr. Seuss     
Ray Charles     
Sean Connery     
Pelé     
Helen Keller     
Robin Williams     
Steve Martin     
Fred Astaire     
Whoopi Goldberg     
Jane Austen     
Bob Hope     
Jessica Simpson     
Frank Lloyd Wright     
Pamela Anderson     
Susan Boyle     
Mae West      
Snoopy      
Jim Carrey      
Michael J. Fox      
Keanu Reeves      
Harrison Ford      
Bruce Willis      
Anthony Hopkins      
Danny DeVito      
Jackie Chan      
Eddie Murphy      
Bruce Lee      
Jamie Foxx      
Nicolas Cage      
Vin Diesel      
Melissa McCarthy      
Ben Stiller      
Will Ferrell      
Cara Delevingne       
Tom Hiddleston       
Channing Tatum       
Jared Leto       
Gal Gadot       
Zendaya       
Timothée Chalamet       
Millie Bobby Brown       
Finn Wolfhard       
Sadie Sink       
Noah Schnapp       
Gaten Matarazzo       
Caleb McLaughlin       
Winona Ryder        
David Harbour        
Maya Hawke        
Joe Keery        
Natalia Dyer        
Charlie Heaton        
Dacre Montgomery        
Priyanka Chopra        
Nick Jonas        
Joe Jonas        
Sophie Turner        
Maisie Williams        
Kit Harington        
Emilia Clarke        
Peter Dinklage        
Lena Headey        
Nikolaj Coster-Waldau        
Gwendoline Christie        
Sean Bean        
Mark Hamill        
Carrie Fisher        
Daisy Ridley        
Adam Driver        
John Boyega        
Oscar Isaac (repeated)        
Pedro Pascal        
Gina Carano         
... (list truncated for brevity)
